Time,ParticipantID,DatasetID,TechniqueID,RepetitionID,mapPosx,mapPosy,mapPosz,mapRotaionx,mapRotationy,mapRotationz,markerHandPosx,markerHandPosy,markerHandPosz,reletivePosx,reletivePosy,reletivePosz,Lable
0,15,1,0,2,0.4973203,0.8532517,-0.07344657,357.0132,102.1293,292.3065,0.5141814,0.9291229,0.01358386,-4.942983,-2.532942,0.1025369,Start
0.0002441406,15,1,0,2,0.4973203,0.8532517,-0.07344657,357.0132,102.1293,292.3065,0.5141814,0.9291229,0.01358386,-4.942983,-2.532942,0.1025369,Nothing
0.009155273,15,1,0,2,0.4991789,0.8490157,-0.0727047,358.1591,101.628,292.5325,0.513918,0.9283637,0.01369762,-5.089835,-2.403508,-0.02036465,Nothing
0.02178955,15,1,0,2,0.4995171,0.8471457,-0.07173848,358.7058,101.5177,292.4192,0.5138478,0.9281303,0.01372367,-5.138672,-2.340102,-0.05676222,Nothing
0.02980042,15,1,0,2,0.5000626,0.8455026,-0.07161747,359.1696,101.3795,292.2835,0.5138146,0.9278738,0.01371711,-5.189673,-2.317138,-0.1028945,Nothing
0.03813171,15,1,0,2,0.4996328,0.8458025,-0.07110738,359.1216,101.373,292.2543,0.5138187,0.9278908,0.01368291,-5.167666,-2.305282,-0.07398982,Nothing
0.04672241,15,1,0,2,0.499981,0.8445768,-0.07096227,359.4591,101.2846,292.1486,0.513817,0.9276396,0.01365488,-5.201783,-2.287159,-0.1049944,Nothing
0.05519104,15,1,0,2,0.4996471,0.8453046,-0.07145813,359.2819,101.4346,292.0981,0.5138733,0.9276325,0.01366355,-5.177701,-2.329664,-0.09042852,Nothing
0.06735229,15,1,0,2,0.4995931,0.844909,-0.07179463,359.3888,101.469,291.9157,0.5139153,0.9273696,0.01364551,-5.181818,-2.358393,-0.09867626,Nothing
0.07255554,15,1,0,2,0.4993941,0.8455006,-0.07188013,359.218,101.4867,291.8797,0.5139753,0.9273592,0.01361813,-5.155772,-2.377033,-0.07710914,Nothing
0.0846405,15,1,0,2,0.4989969,0.8460457,-0.07190279,359.0242,101.4445,291.7193,0.513958,0.9270312,0.01360618,-5.111935,-2.410765,-0.04396568,Nothing
0.09680176,15,1,0,2,0.498391,0.8471894,-0.07215688,358.6563,101.5151,291.6412,0.514012,0.9267266,0.01356359,-5.050145,-2.45815,0.002858968,Nothing
0.1046295,15,1,0,2,0.4982188,0.8475377,-0.07233913,358.5423,101.6014,291.6887,0.5139849,0.9267167,0.01358156,-5.040274,-2.470101,0.008566973,Nothing
0.1131439,15,1,0,2,0.4975328,0.8486615,-0.07299177,358.1625,101.824,291.6545,0.5140129,0.9264,0.01357516,-4.988188,-2.532696,0.04217084,Nothing
0.1214294,15,1,0,2,0.497426,0.8487948,-0.07324356,358.0949,101.9059,291.6714,0.5138999,0.926375,0.01346806,-4.984547,-2.540037,0.03858259,Nothing
0.1294861,15,1,0,2,0.4966965,0.8499188,-0.07381876,357.6955,102.1315,291.6463,0.5138714,0.9260327,0.01337875,-4.928641,-2.595449,0.07274123,Nothing
0.1508484,15,1,0,2,0.4967393,0.8498945,-0.07354358,357.683,102.0951,291.6774,0.5138237,0.92602,0.01334543,-4.924864,-2.578459,0.07511708,Nothing
0.1561127,15,1,0,2,0.4959242,0.8511959,-0.07250212,357.1332,102.0324,291.871,0.5137084,0.925233,0.01294794,-4.815847,-2.544414,0.1563246,Nothing
0.1635437,15,1,0,2,0.4960499,0.8507841,-0.07205997,357.2309,101.9558,291.9806,0.5136862,0.9252154,0.01292167,-4.829473,-2.506586,0.1545098,Nothing
0.170929,15,1,0,2,0.4955848,0.851081,-0.07136657,357.027,101.9167,292.1229,0.5135897,0.9247563,0.01270231,-4.785823,-2.472878,0.1941637,Nothing
0.1801453,15,1,0,2,0.4954802,0.8510384,-0.07156321,357.0799,101.9201,291.9896,0.513585,0.9246934,0.0127012,-4.782988,-2.493708,0.1933649,Nothing
0.1882172,15,1,0,2,0.4952257,0.8509235,-0.07037493,357.0257,101.6601,292.0079,0.5134803,0.9241895,0.01253084,-4.741367,-2.442432,0.2343495,Nothing
0.196701,15,1,0,2,0.4952984,0.8507261,-0.07044891,357.0524,101.6446,292.0214,0.5134689,0.9241096,0.01259457,-4.74952,-2.444288,0.2288671,Nothing
0.2043915,15,1,0,2,0.4950504,0.8506624,-0.06944613,357.0074,101.4738,292.1858,0.5133364,0.9234359,0.01259166,-4.710821,-2.399613,0.257022,Nothing
0.2319489,15,1,0,2,0.4951332,0.8504915,-0.06921832,357.0542,101.438,292.2917,0.5133342,0.9233532,0.01259627,-4.71502,-2.378815,0.255054,Nothing
0.2433014,15,1,0,2,0.4947531,0.8499528,-0.06655835,356.9959,100.952,292.7222,0.5131053,0.9218014,0.01264449,-4.638035,-2.251265,0.320484,Nothing
0.2547913,15,1,0,2,0.4945563,0.8495169,-0.06482947,356.9843,100.6229,292.9547,0.5128941,0.9210063,0.01268374,-4.598362,-2.166133,0.3566006,Nothing
0.2631531,15,1,0,2,0.4946137,0.8492467,-0.06407619,357.0256,100.4654,293.0788,0.5128763,0.9209577,0.01263323,-4.597103,-2.116539,0.3685281,Nothing
0.2710724,15,1,0,2,0.4943968,0.8484794,-0.06145657,357.071,99.95452,293.4721,0.5127063,0.9200917,0.01260859,-4.554824,-1.972769,0.4229031,Nothing
0.2795105,15,1,0,2,0.4941868,0.8471586,-0.05778396,357.1986,99.24086,294.058,0.5124844,0.9191243,0.01264293,-4.516619,-1.761015,0.4884515,Nothing
0.2888184,15,1,0,2,0.4942326,0.8467596,-0.05674464,357.2591,99.02309,294.223,0.5124857,0.9190617,0.01264368,-4.515224,-1.695625,0.5043724,Nothing
0.3009949,15,1,0,2,0.4939564,0.8450862,-0.05201772,357.4464,98.06049,294.9048,0.5124047,0.9179258,0.01252541,-4.457528,-1.420577,0.592822,Nothing
0.3057861,15,1,0,2,0.493978,0.8448354,-0.0512232,357.4864,97.89113,294.9663,0.5123841,0.9177599,0.0126226,-4.448058,-1.382889,0.6025084,Nothing
0.3132172,15,1,0,2,0.4934394,0.8432038,-0.04635911,357.6434,96.87984,295.553,0.51216,0.9164884,0.01278071,-4.376513,-1.124216,0.6905731,Nothing
0.3209991,15,1,0,2,0.4932085,0.8434806,-0.04671351,357.5724,96.96239,295.4563,0.5121659,0.9164391,0.01290267,-4.370262,-1.160989,0.698459,Nothing
0.3300629,15,1,0,2,0.4921315,0.8426642,-0.0433608,357.5133,96.29652,295.8682,0.5118744,0.9149339,0.01323072,-4.281433,-1.014749,0.7874482,Nothing
0.3381653,15,1,0,2,0.4919853,0.8429767,-0.04346256,357.431,96.34378,295.9397,0.5117682,0.9148603,0.01333366,-4.269779,-1.027275,0.7900418,Nothing
0.346405,15,1,0,2,0.49071,0.8424915,-0.03954075,357.2665,95.60603,296.6233,0.5114197,0.9133256,0.01369772,-4.153578,-0.8473204,0.8936365,Nothing
0.3548584,15,1,0,2,0.4907377,0.8425618,-0.03891109,357.2164,95.50893,296.8224,0.5113668,0.9131486,0.01371539,-4.131341,-0.8112937,0.8993863,Nothing
0.3630219,15,1,0,2,0.4893323,0.8419202,-0.03349913,357.0411,94.48058,297.8706,0.5109602,0.9115486,0.01398041,-3.978769,-0.5361704,1.019917,Nothing
0.3850098,15,1,0,2,0.489342,0.8418175,-0.03235962,357.0182,94.23962,298.1177,0.510928,0.9115578,0.01391786,-3.956165,-0.4633499,1.033527,Nothing
0.3962708,15,1,0,2,0.4854307,0.8404377,-0.01715496,356.4454,91.30502,301.0697,0.5100786,0.9087043,0.01406245,-3.498556,0.342052,1.338606,Nothing
0.4046936,15,1,0,2,0.4828518,0.8408656,-0.01127061,355.8455,90.18032,302.2724,0.5096534,0.9074162,0.0140505,-3.239764,0.6154193,1.498374,Nothing
0.4129791,15,1,0,2,0.4826922,0.8415859,-0.01225641,355.6593,90.42219,302.1972,0.5096636,0.9075796,0.01397076,-3.239764,0.5532795,1.508972,Nothing
0.4211121,15,1,0,2,0.4801015,0.8420203,-0.007253056,355.0591,89.51203,303.3566,0.5092601,0.9066637,0.01380019,-3.005159,0.7924773,1.656557,Nothing
0.4294434,15,1,0,2,0.480073,0.8425595,-0.008647049,354.9236,89.86071,303.2209,0.5092341,0.9068433,0.01372411,-3.02893,0.714561,1.656245,Nothing
0.4378967,15,1,0,2,0.477684,0.8432247,-0.005098196,354.2754,89.28996,304.2555,0.5087562,0.9059755,0.01349621,-2.822018,0.8730655,1.780714,Nothing
0.4673004,15,1,0,2,0.477922,0.8431883,-0.006092889,354.3227,89.52156,304.105,0.5087202,0.9062768,0.01337386,-2.866813,0.8368847,1.763836,Nothing
0.4727631,15,1,0,2,0.4742514,0.8426918,-0.0001869146,353.6609,88.62074,305.8099,0.5077692,0.905714,0.01270345,-2.61066,1.17439,1.931474,Nothing
0.4794922,15,1,0,2,0.4746597,0.8424575,-0.0004543662,353.7842,88.68279,305.7527,0.5078579,0.9061182,0.01262723,-2.647635,1.183769,1.913195,Nothing
0.4879913,15,1,0,2,0.4732605,0.8416359,0.00215259,353.6837,88.26854,306.5299,0.5075466,0.9062831,0.01234422,-2.571898,1.363005,1.974837,Nothing
0.496109,15,1,0,2,0.4735028,0.8414019,0.002181159,353.7974,88.2325,306.4342,0.507622,0.9064073,0.01241911,-2.592464,1.370451,1.963406,Nothing
0.5044861,15,1,0,2,0.4724023,0.8406752,0.004700638,353.7914,87.7301,306.9043,0.5073743,0.9068107,0.01228526,-2.534938,1.534832,2.008637,Nothing
0.5127716,15,1,0,2,0.4723968,0.8408277,0.004451731,353.7858,87.76986,306.8094,0.5074046,0.9068733,0.01230559,-2.542073,1.516703,2.010443,Nothing
0.531723,15,1,0,2,0.4713896,0.8406767,0.005942186,353.7043,87.46402,307.0171,0.5071864,0.9074318,0.01229394,-2.508511,1.607557,2.054106,Nothing
0.5371246,15,1,0,2,0.4708334,0.8413305,0.005331023,353.5391,87.59586,306.831,0.5069554,0.9082661,0.01229791,-2.533864,1.57381,2.079702,Nothing
0.5513458,15,1,0,2,0.470885,0.842278,0.003822399,353.3546,87.95444,306.632,0.5065932,0.9091878,0.0122662,-2.583511,1.495924,2.070403,Nothing
0.5631256,15,1,0,2,0.4707942,0.8431335,0.002901556,353.179,88.19647,306.5414,0.5061127,0.9100679,0.01237365,-2.617249,1.444449,2.061297,Nothing
0.5710602,15,1,0,2,0.4711407,0.8432765,0.002472756,353.203,88.28097,306.4714,0.5060654,0.9101071,0.01242953,-2.633062,1.419147,2.040961,Nothing
0.5796661,15,1,0,2,0.4714317,0.844101,0.001359688,353.0509,88.54323,306.2603,0.505443,0.9108933,0.01258775,-2.677692,1.352437,2.005026,Nothing
0.5877075,15,1,0,2,0.4715945,0.8442966,0.001068568,353.0256,88.58765,306.1927,0.5053601,0.9109102,0.01282647,-2.688689,1.322987,1.993932,Nothing
0.5969391,15,1,0,2,0.4719818,0.8455331,-0.0005364772,352.7943,88.90797,305.936,0.5047402,0.9117575,0.01318044,-2.73873,1.215439,1.954791,Nothing
0.6182098,15,1,0,2,0.4720942,0.8457154,-0.0007488951,352.7527,88.94416,305.909,0.504641,0.9117528,0.0134332,-2.745703,1.189993,1.945819,Nothing
