Time,ParticipantID,DatasetID,TechniqueID,RepetitionID,mapPosx,mapPosy,mapPosz,mapRotaionx,mapRotationy,mapRotationz,markerHandPosx,markerHandPosy,markerHandPosz,reletivePosx,reletivePosy,reletivePosz,Lable
0,12,1,0,2,0.4205658,0.9189582,0.1446265,1.85813,68.92203,282.4637,0.4909495,0.8902482,0.07922518,2.157504,3.732759,2.050134,Start
0.0001831055,12,1,0,2,0.4205658,0.9189582,0.1446265,1.85813,68.92203,282.4637,0.4909495,0.8902482,0.07922518,2.157504,3.732759,2.050134,Nothing
0.01086426,12,1,0,2,0.420963,0.9196241,0.1447092,1.656476,69.06992,283.1496,0.4910341,0.8905607,0.07903004,2.226073,3.702945,2.038009,Nothing
0.02172852,12,1,0,2,0.4210235,0.9207535,0.1440003,1.389023,69.24045,283.2081,0.491105,0.8905283,0.07903615,2.283757,3.649372,2.057894,Nothing
0.03106689,12,1,0,2,0.4211577,0.9211265,0.143509,1.276729,69.34474,283.1278,0.491122,0.8905566,0.07905595,2.291853,3.620297,2.066309,Nothing
0.04278564,12,1,0,2,0.4211369,0.9218135,0.1429349,1.130943,69.45898,283.0117,0.4911488,0.8905696,0.07906701,2.313891,3.588014,2.083299,Nothing
0.05615234,12,1,0,2,0.4211277,0.9215724,0.1431261,1.193554,69.39447,282.9631,0.4912235,0.8905027,0.07911987,2.30283,3.601963,2.081607,Nothing
0.06378174,12,1,0,2,0.4211321,0.9214025,0.1432206,1.24365,69.36138,282.9292,0.4913398,0.8904448,0.07911567,2.295373,3.612198,2.08375,Nothing
0.07098389,12,1,0,2,0.421186,0.9210755,0.1433415,1.330977,69.32731,282.8882,0.4913786,0.8903605,0.07912467,2.279863,3.622905,2.080702,Nothing
0.07946777,12,1,0,2,0.4214104,0.920535,0.1432914,1.471752,69.32194,282.7985,0.4914692,0.8902574,0.07917941,2.247528,3.625627,2.079068,Nothing
0.08764648,12,1,0,2,0.421577,0.9199824,0.1433905,1.622148,69.30566,282.7537,0.491588,0.8900878,0.07933521,2.221044,3.629918,2.079869,Nothing
0.0970459,12,1,0,2,0.4212577,0.9189684,0.1452125,1.901071,68.91152,283.0197,0.4916249,0.8899603,0.07953981,2.208875,3.72058,2.045448,Nothing
0.1069336,12,1,0,2,0.4213514,0.9184039,0.1453122,2.032175,68.91485,283.0498,0.4916971,0.8898094,0.07970764,2.186292,3.721503,2.048205,Nothing
0.1151733,12,1,0,2,0.4220527,0.9179106,0.1440837,2.108274,69.30627,282.9709,0.491811,0.8897722,0.07992974,2.136615,3.644206,2.07543,Nothing
0.1246338,12,1,0,2,0.4226618,0.9177227,0.1432469,2.154671,69.5038,282.8203,0.4919458,0.8896551,0.08003002,2.109216,3.595704,2.084679,Nothing
0.1367798,12,1,0,2,0.4228606,0.9176514,0.1431521,2.163297,69.52871,282.7969,0.4920671,0.8895435,0.08020629,2.106043,3.582325,2.087721,Nothing
0.1499634,12,1,0,2,0.4229711,0.9175403,0.1433917,2.140593,69.51381,282.9093,0.4923297,0.889179,0.08056472,2.124851,3.573191,2.095397,Nothing
0.1641846,12,1,0,2,0.4232866,0.917379,0.1430079,2.126523,69.63812,282.9474,0.4926107,0.8889445,0.08101039,2.120947,3.530081,2.115988,Nothing
0.1716309,12,1,0,2,0.4234038,0.9173812,0.1429304,2.109202,69.68079,282.9634,0.4927925,0.8888195,0.08124104,2.124868,3.514208,2.126707,Nothing
0.1804199,12,1,0,2,0.4234652,0.9172789,0.1428833,2.093907,69.7095,282.9435,0.4930202,0.8887463,0.08143312,2.12037,3.506491,2.139635,Nothing
0.1889648,12,1,0,2,0.4235917,0.9175227,0.1425316,2.005456,69.79499,282.898,0.4932474,0.8886005,0.08171231,2.131544,3.474555,2.158969,Nothing
0.2047119,12,1,0,2,0.4238486,0.9176101,0.1423008,1.951742,69.83408,282.8021,0.4936107,0.8883013,0.0820027,2.140012,3.451299,2.174309,Nothing
0.2140503,12,1,0,2,0.4239816,0.9174678,0.1425662,1.998787,69.77136,282.8437,0.4937925,0.8881099,0.08237551,2.142687,3.447995,2.17522,Nothing
0.2210083,12,1,0,2,0.4240935,0.9173501,0.1426377,2.021715,69.79426,282.9333,0.4938677,0.8880663,0.08240018,2.14397,3.446233,2.174751,Nothing
